model,dialect,total,refusal_rate,safe_refusal_rate,unsafe_refusal_rate
ALLaM-7B-Instruct-preview,ARABIZI,480,59.791666666666664,48.698884758364315,74.28571428571429
ALLaM-7B-Instruct-preview,EGY,480,61.04166666666667,34.44444444444444,95.23809523809523
ALLaM-7B-Instruct-preview,LEV,480,50.625,15.925925925925927,95.23809523809523
ALLaM-7B-Instruct-preview,MSA,480,47.5,11.11111111111111,94.28571428571428
ALLaM-7B-Instruct-preview,NOISY,480,58.12500000000001,28.14814814814815,96.66666666666667
Fanar-1-9B-Instruct,ARABIZI,480,18.75,2.6022304832713754,39.523809523809526
Fanar-1-9B-Instruct,EGY,480,45.83333333333333,13.333333333333334,87.61904761904762
Fanar-1-9B-Instruct,LEV,480,42.916666666666664,7.777777777777778,88.09523809523809
Fanar-1-9B-Instruct,MSA,480,46.875,10.74074074074074,93.33333333333333
Fanar-1-9B-Instruct,NOISY,480,43.75,12.592592592592592,83.80952380952381
Meta-Llama-3-8B-Instruct,ARABIZI,480,74.79166666666667,65.05576208178438,87.61904761904762
Meta-Llama-3-8B-Instruct,EGY,480,59.583333333333336,38.88888888888889,86.19047619047619
Meta-Llama-3-8B-Instruct,LEV,480,57.291666666666664,32.592592592592595,89.04761904761904
Meta-Llama-3-8B-Instruct,MSA,480,55.41666666666667,25.185185185185183,94.28571428571428
Meta-Llama-3-8B-Instruct,NOISY,480,62.916666666666664,42.592592592592595,89.04761904761904
Qwen2.5-3B-Instruct,ARABIZI,480,15.833333333333332,14.869888475836431,17.142857142857142
Qwen2.5-3B-Instruct,EGY,480,36.45833333333333,8.518518518518519,72.38095238095238
Qwen2.5-3B-Instruct,LEV,480,36.666666666666664,3.7037037037037033,79.04761904761905
Qwen2.5-3B-Instruct,MSA,480,39.791666666666664,5.185185185185185,84.28571428571429
Qwen2.5-3B-Instruct,NOISY,480,42.291666666666664,12.592592592592592,80.47619047619048
Qwen2.5-7B-Instruct,ARABIZI,480,14.374999999999998,6.319702602230483,24.761904761904763
Qwen2.5-7B-Instruct,EGY,480,37.083333333333336,8.148148148148149,74.28571428571429
Qwen2.5-7B-Instruct,LEV,480,34.166666666666664,2.5925925925925926,74.76190476190476
Qwen2.5-7B-Instruct,MSA,480,39.791666666666664,3.3333333333333335,86.66666666666667
Qwen2.5-7B-Instruct,NOISY,480,37.708333333333336,7.777777777777778,76.19047619047619
