model,mix,step,refusal_rate,safe_refusal_rate,unsafe_refusal_rate
ALLaM,100% Refusals,base,26.24,19.32,85.96
ALLaM,100% Refusals,5,36.49,30.03,92.26
ALLaM,100% Refusals,10,99.94,99.94,100.0
ALLaM,100% Refusals,15,99.97,99.96,100.0
ALLaM,100% Refusals,20,99.98,99.98,100.0
ALLaM,100% Refusals,25,99.95,99.94,100.0
ALLaM,100% Refusals,30,99.95,99.94,100.0
ALLaM,100% Refusals,40,99.99,99.99,100.0
ALLaM,100% Refusals,60,99.99,99.99,100.0
ALLaM,100% Refusals,80,100.0,100.0,100.0
ALLaM,100% Refusals,100,100.0,100.0,100.0
ALLaM,90/10 Mix,5,19.33,11.67,85.41
ALLaM,90/10 Mix,10,14.61,7.25,78.07
ALLaM,90/10 Mix,15,24.58,16.91,90.75
ALLaM,90/10 Mix,20,30.12,22.69,94.18
ALLaM,90/10 Mix,25,21.88,13.97,90.11
ALLaM,90/10 Mix,30,18.9,10.92,87.72
ALLaM,90/10 Mix,40,21.84,13.83,90.99
ALLaM,90/10 Mix,60,32.41,25.04,96.01
ALLaM,90/10 Mix,80,34.46,27.2,97.13
ALLaM,90/10 Mix,100,33.81,26.52,96.73
ALLaM,95/5 Mix,5,17.16,9.47,83.49
ALLaM,95/5 Mix,10,12.54,5.32,74.88
ALLaM,95/5 Mix,15,19.25,11.68,84.61
ALLaM,95/5 Mix,20,22.25,14.68,87.56
ALLaM,95/5 Mix,25,23.24,15.4,90.91
ALLaM,95/5 Mix,30,23.13,15.22,91.39
ALLaM,95/5 Mix,40,25.66,17.78,93.7
ALLaM,95/5 Mix,60,26.23,18.39,93.94
ALLaM,95/5 Mix,80,23.6,15.65,92.19
ALLaM,95/5 Mix,100,23.54,15.59,92.19
Fanar,100% Refusals,base,33.93,29.22,74.64
Fanar,100% Refusals,5,50.58,46.31,87.48
Fanar,100% Refusals,10,96.41,96.01,99.92
Fanar,100% Refusals,15,96.61,96.21,100.0
Fanar,100% Refusals,20,97.16,96.83,100.0
Fanar,100% Refusals,25,97.46,97.16,100.0
Fanar,100% Refusals,30,97.15,96.82,100.0
Fanar,100% Refusals,40,97.36,97.06,99.92
Fanar,100% Refusals,60,97.47,97.18,100.0
Fanar,100% Refusals,80,97.62,97.34,100.0
Fanar,100% Refusals,100,97.44,97.14,100.0
Fanar,90/10 Mix,5,31.26,26.35,73.6
Fanar,90/10 Mix,10,22.66,16.63,74.72
Fanar,90/10 Mix,15,19.28,13.47,69.46
Fanar,90/10 Mix,20,13.63,8.41,58.69
Fanar,90/10 Mix,25,11.84,6.77,55.58
Fanar,90/10 Mix,30,12.33,7.85,50.96
Fanar,90/10 Mix,40,16.53,11.29,61.72
Fanar,90/10 Mix,60,13.17,7.75,59.89
Fanar,90/10 Mix,80,12.93,7.76,57.58
Fanar,90/10 Mix,100,12.67,7.57,56.7
Fanar,95/5 Mix,5,28.81,24.12,69.22
Fanar,95/5 Mix,10,25.85,20.32,73.6
Fanar,95/5 Mix,15,16.17,10.26,67.22
Fanar,95/5 Mix,20,14.39,7.73,71.85
Fanar,95/5 Mix,25,15.14,8.39,73.37
Fanar,95/5 Mix,30,13.64,7.25,68.74
Fanar,95/5 Mix,40,14.25,8.4,64.75
Fanar,95/5 Mix,60,13.48,7.72,63.24
Fanar,95/5 Mix,80,13.76,8.34,60.53
Fanar,95/5 Mix,100,13.41,7.85,61.32
Llama3-8B,100% Refusals,base,17.61,10.39,79.9
Llama3-8B,100% Refusals,5,33.4,26.54,92.66
Llama3-8B,100% Refusals,10,99.98,99.98,100.0
Llama3-8B,100% Refusals,15,100.0,100.0,100.0
Llama3-8B,100% Refusals,20,99.97,99.96,100.0
Llama3-8B,100% Refusals,25,99.98,99.98,100.0
Llama3-8B,100% Refusals,30,99.97,99.96,100.0
Llama3-8B,100% Refusals,40,99.99,99.99,100.0
Llama3-8B,100% Refusals,60,99.99,99.99,100.0
Llama3-8B,100% Refusals,80,99.99,99.99,100.0
Llama3-8B,100% Refusals,100,99.99,99.99,100.0
Llama3-8B,90/10 Mix,5,18.04,11.08,78.15
Llama3-8B,90/10 Mix,10,30.17,23.59,87.0
Llama3-8B,90/10 Mix,15,23.09,15.74,86.52
Llama3-8B,90/10 Mix,20,28.08,20.67,92.03
Llama3-8B,90/10 Mix,25,36.0,29.11,95.45
Llama3-8B,90/10 Mix,30,34.39,27.4,94.66
Llama3-8B,90/10 Mix,40,27.1,19.88,89.39
Llama3-8B,90/10 Mix,60,33.14,26.13,93.62
Llama3-8B,90/10 Mix,80,28.09,20.74,91.47
Llama3-8B,90/10 Mix,100,28.51,21.23,91.31
Llama3-8B,95/5 Mix,5,18.79,13.29,66.27
Llama3-8B,95/5 Mix,10,33.2,27.0,86.68
Llama3-8B,95/5 Mix,15,50.86,46.16,91.39
Llama3-8B,95/5 Mix,20,27.29,20.5,85.89
Llama3-8B,95/5 Mix,25,25.29,18.37,85.01
Llama3-8B,95/5 Mix,30,27.88,20.69,89.95
Llama3-8B,95/5 Mix,40,32.23,25.33,91.79
Llama3-8B,95/5 Mix,60,23.66,16.76,83.25
Llama3-8B,95/5 Mix,80,23.22,16.17,84.05
Llama3-8B,95/5 Mix,100,23.04,15.87,84.85
Qwen2.5-3B,100% Refusals,base,15.89,9.51,70.97
Qwen2.5-3B,100% Refusals,5,16.0,9.47,72.33
Qwen2.5-3B,100% Refusals,10,22.89,15.66,85.25
Qwen2.5-3B,100% Refusals,15,30.28,23.35,90.11
Qwen2.5-3B,100% Refusals,20,43.8,37.79,95.69
Qwen2.5-3B,100% Refusals,25,71.98,68.76,99.76
Qwen2.5-3B,100% Refusals,30,84.62,82.83,100.0
Qwen2.5-3B,100% Refusals,40,91.22,90.21,100.0
Qwen2.5-3B,100% Refusals,60,93.56,92.81,100.0
Qwen2.5-3B,100% Refusals,80,94.44,93.79,100.0
Qwen2.5-3B,100% Refusals,100,94.31,93.65,100.0
Qwen2.5-3B,90/10 Mix,5,16.37,10.01,71.29
Qwen2.5-3B,90/10 Mix,10,16.48,10.27,70.02
Qwen2.5-3B,90/10 Mix,15,16.35,10.32,68.42
Qwen2.5-3B,90/10 Mix,20,15.96,10.08,66.67
Qwen2.5-3B,90/10 Mix,25,15.22,9.55,64.11
Qwen2.5-3B,90/10 Mix,30,14.22,8.35,64.83
Qwen2.5-3B,90/10 Mix,40,13.83,7.89,65.07
Qwen2.5-3B,90/10 Mix,60,14.58,8.39,68.02
Qwen2.5-3B,90/10 Mix,80,14.68,8.25,70.18
Qwen2.5-3B,90/10 Mix,100,14.54,8.13,69.86
Qwen2.5-3B,95/5 Mix,5,16.38,10.0,71.45
Qwen2.5-3B,95/5 Mix,10,16.48,10.3,69.78
Qwen2.5-3B,95/5 Mix,15,16.7,10.83,67.38
Qwen2.5-3B,95/5 Mix,20,15.49,9.8,64.59
Qwen2.5-3B,95/5 Mix,25,14.12,8.79,60.13
Qwen2.5-3B,95/5 Mix,30,13.02,7.68,59.09
Qwen2.5-3B,95/5 Mix,40,12.02,7.08,54.7
Qwen2.5-3B,95/5 Mix,60,12.09,6.73,58.37
Qwen2.5-3B,95/5 Mix,80,12.22,6.69,59.97
Qwen2.5-3B,95/5 Mix,100,12.21,6.62,60.45
Qwen2.5-7B,100% Refusals,base,14.64,8.22,70.02
Qwen2.5-7B,100% Refusals,5,16.13,9.41,74.16
Qwen2.5-7B,100% Refusals,10,26.07,18.43,92.03
Qwen2.5-7B,100% Refusals,15,44.78,38.61,98.01
Qwen2.5-7B,100% Refusals,20,69.11,65.57,99.68
Qwen2.5-7B,100% Refusals,25,80.85,78.65,99.84
Qwen2.5-7B,100% Refusals,30,86.88,85.38,99.84
Qwen2.5-7B,100% Refusals,40,91.79,90.85,99.92
Qwen2.5-7B,100% Refusals,60,95.08,94.52,99.92
Qwen2.5-7B,100% Refusals,80,95.33,94.8,99.92
Qwen2.5-7B,100% Refusals,100,95.43,94.9,100.0
Qwen2.5-7B,90/10 Mix,5,15.67,9.29,70.81
Qwen2.5-7B,90/10 Mix,10,15.69,9.24,71.37
Qwen2.5-7B,90/10 Mix,15,16.25,9.52,74.32
Qwen2.5-7B,90/10 Mix,20,15.62,8.75,74.96
Qwen2.5-7B,90/10 Mix,25,14.9,7.85,75.76
Qwen2.5-7B,90/10 Mix,30,14.68,7.5,76.63
Qwen2.5-7B,90/10 Mix,40,15.43,7.99,79.67
Qwen2.5-7B,90/10 Mix,60,15.8,8.12,82.06
Qwen2.5-7B,90/10 Mix,80,16.75,8.97,83.89
Qwen2.5-7B,90/10 Mix,100,16.69,8.9,83.97
Qwen2.5-7B,95/5 Mix,5,15.54,9.19,70.33
Qwen2.5-7B,95/5 Mix,10,15.02,8.69,69.7
Qwen2.5-7B,95/5 Mix,15,15.22,8.61,72.25
Qwen2.5-7B,95/5 Mix,20,14.96,8.75,68.58
Qwen2.5-7B,95/5 Mix,25,14.59,8.06,70.97
Qwen2.5-7B,95/5 Mix,30,13.86,7.22,71.21
Qwen2.5-7B,95/5 Mix,40,13.46,6.58,72.89
